"Pos. Control (No Rx), A, A-SA, B, B-SB, combination of A and B, combination of SA and SB",Replicate,Slide (tube) # (for use in lab),"Response: No change in morphology (No GT, PH or buds)",Response: GT (germtubes) only,Response: Pseudohypha (PH) only ,Response: Buds only ,Response: GT + PH,Response: GT + Buds,Response: PH + Buds,Response: >1 GTs multiple GTs)
No Treatment (positive control),1,1,16,176,2,6,0,0,0,0
No Treatment (positive control),2,2,31,168,0,1,0,0,0,0
No Treatment (positive control),3,3,20,173,3,4,0,0,0,0
No Treatment (positive control),4,4,32,159,1,8,0,0,0,0
No Treatment (positive control),5,5,21,174,3,2,0,0,0,0
Whole Aloe arborescens Extract,1,6,174,8,0,18,0,0,0,0
Whole Aloe arborescens Extract,2,7,187,8,0,5,0,0,0,0
Whole Aloe arborescens Extract,3,8,185,4,3,8,0,0,0,0
Whole Aloe arborescens Extract,4,9,187,7,4,2,0,0,0,0
Whole Aloe arborescens Extract,5,10,194,3,0,3,0,0,0,0
compound 'A' isolated from Aloe arborescens,1,11,121,16,31,7,0,11,9,5
compound 'A' isolated from Aloe arborescens,2,12,106,21,29,18,0,16,4,6
compound 'A' isolated from Aloe arborescens,3,13,124,11,33,12,0,6,9,5
compound 'A' isolated from Aloe arborescens,4,14,130,13,24,10,0,12,9,2
compound 'A' isolated from Aloe arborescens,5,15,141,8,25,8,0,7,9,2
compound 'A-SA' from Sigma Aldrich,1,16,133,6,31,6,0,17,3,4
compound 'A-SA' from Sigma Aldrich,2,17,126,17,25,13,0,9,9,1
compound 'A-SA' from Sigma Aldrich,3,18,146,9,27,1,0,6,6,5
compound 'A-SA' from Sigma Aldrich,4,19,151,10,24,2,0,8,5,0
compound 'A-SA' from Sigma Aldrich,5,20,133,12,31,6,2,11,2,3
compound 'B' isolated from Aloe arborescens,1,21,129,34,16,11,0,5,0,5
compound 'B' isolated from Aloe arborescens,2,22,145,21,7,8,0,9,4,6
compound 'B' isolated from Aloe arborescens,3,23,154,14,13,6,0,6,3,4
compound 'B' isolated from Aloe arborescens,4,24,127,29,12,18,2,7,3,2
compound 'B' isolated from Aloe arborescens,5,25,136,24,19,10,2,4,5,0
compound 'B-SA' from Sigma Aldrich,1,26,124,49,15,7,1,2,1,1
compound 'B-SA' from Sigma Aldrich,2,27,128,38,7,8,0,9,4,6
compound 'B-SA' from Sigma Aldrich,3,28,118,36,32,6,1,2,1,4
compound 'B-SA' from Sigma Aldrich,4,29,101,62,25,10,0,0,2,0
compound 'B-SA' from Sigma Aldrich,5,30,143,36,14,4,0,2,1,0
combination of A and B,1,31,153,21,19,3,2,2,0,0
combination of A and B,2,32,149,16,33,0,0,0,0,2
combination of A and B,3,33,163,17,13,1,3,2,1,0
combination of A and B,4,34,171,19,5,0,2,2,0,1
combination of A and B,5,35,178,16,4,0,0,1,0,1
combination of A-SA and B-SA,1,36,137,12,39,3,2,2,5,0
combination of A-SA and B-SA,2,37,163,14,21,0,0,0,0,2
combination of A-SA and B-SA,3,38,153,19,23,2,0,1,2,0
combination of A-SA and B-SA,4,39,132,23,41,0,1,2,0,1
combination of A-SA and B-SA,5,40,156,17,26,0,1,0,0,0
